,Unnamed: 0,objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,centroid_lat,centroid_lon,hdistance,distance_km,distance_minutes
68,2806,46345,BRIGHT HORIZONS CHICAGO EAST LOOP,225 N MICHIGAN AVE,CHICAGO,IL,60601,35,COOK,17031,41.88633,-87.62403,CHILD DAY CARE CENTERS,POINT (-87.62403 41.88633),389,17,31,320102,17031320102,41.885039022703424,-87.62405518541148,0.0893029582384231,0.144,0.21666666666666667
69,2396,45935,LITTLE MARVELS EARLY CHILDHOOD SCHOOL,3045 N LINCOLN AVE,CHICAGO,IL,60657,64,COOK,17031,41.937151,-87.665122,CHILD DAY CARE CENTERS,POINT (-87.665122 41.937151),1774,17,31,62700,17031062700,41.93608628484741,-87.6661103226328,0.0894945522089698,0.321,1.5166666666666666
70,1663,45201,KANGAROO KORNER LEARNING CENTER,3446 W FULLERTON AVE,CHICAGO,IL,60647,109,COOK,17031,41.92486,-87.71407,CHILD DAY CARE CENTERS,POINT (-87.71407 41.92486),649,17,31,220601,17031220601,41.925825208963694,-87.71288365533428,0.0904670478379362,0.206,0.95
71,1869,45407,GUADALUPANO FAMILY CENTER,1814 S PAULINA ST,CHICAGO,IL,60608,197,COOK,17031,41.85723,-87.66885,CHILD DAY CARE CENTERS,POINT (-87.66885 41.85723),1909,17,31,310800,17031310800,41.855933721307615,-87.66857374611118,0.0907827067215456,0.455,2.433333333333333
72,1028,44566,HAPPI TIME DAY CARE,1010 STRATFORD DRIVE,CHAMPAIGN,IL,61821,90,CHAMPAIGN,17019,40.10452,-88.29147,CHILD DAY CARE CENTERS,POINT (-88.29147 40.10452),2976,17,19,1201,17019001201,40.105693874842935,-88.29067526753781,0.0914339282894205,0.253,1.5333333333333334
73,260,43797,MOMMY AND AIDEN ACADEMY,333 S LAKE ST,AURORA,IL,60506,52,KANE,17089,41.75465,-88.32645,CHILD DAY CARE CENTERS,POINT (-88.32645 41.75465),1841,17,89,854700,17089854700,41.75350202690296,-88.32556576626602,0.0915776528759756,0.436,1.8
74,857,44395,HEARTZ AND MINDZ LEARNING CENTER,10008 W ROOSEVELT RD,WESTCHESTER,IL,60154,63,COOK,17031,41.86352,-87.873361,CHILD DAY CARE CENTERS,POINT (-87.873361 41.86352),1038,17,31,818200,17031818200,41.86351527812288,-87.87514183706104,0.0917341608141634,0.158,0.16666666666666666
75,2404,45943,TAYLOR TOTS DAY CARE,1417 W TAYLOR ST FL 1,CHICAGO,IL,60607,97,COOK,17031,41.86933,-87.66231,CHILD DAY CARE CENTERS,POINT (-87.66231 41.86933),1005,17,31,283100,17031283100,41.869274106116784,-87.6640920122828,0.09186719492805,0.15,0.75
76,160,43697,"RAINFOREST LEARNING CENTER, INC",1401 S WABASH AVE,CHICAGO,IL,60605,93,COOK,17031,41.863861,-87.625731,CHILD DAY CARE CENTERS,POINT (-87.625731 41.863861),326,17,31,330102,17031330102,41.86357211553256,-87.62398831496843,0.0919649683713421,0.223,1.2666666666666666
77,2718,46257,FAMILY RESCUE / RIDGELAND DAYCARE CTR,6824 S. RIDGELAND,CHICAGO,IL,60649,35,COOK,17031,41.77095,-87.58222,CHILD DAY CARE CENTERS,POINT (-87.58222 41.77095),2005,17,31,430200,17031430200,41.76976128060318,-87.58135086622278,0.0936507261613462,0.319,1.2833333333333334
78,215,43752,KRIPA MONTESSORI SCHOOL SCHAUMBURG,1021 N SALEM DR,SCHAUMBURG,IL,60194,111,COOK,17031,42.04525,-88.099501,CHILD DAY CARE CENTERS,POINT (-88.099501 42.04525),611,17,31,804715,17031804715,42.0450230929205,-88.09770163420683,0.0937473545601425,1.808,5.783333333333333
79,2173,45711,LOOP LEARNING CENTER INC,"2001 S MICHIGAN AVE, STE 3",CHICAGO,IL,60616,165,COOK,17031,41.85513,-87.6236,CHILD DAY CARE CENTERS,POINT (-87.6236 41.85513),324,17,31,330103,17031330103,41.85647960419486,-87.62341722505033,0.0938223158972713,0.527,2.5166666666666666
80,1732,45270,KIMBALL DAY CARE CENTER AND KINDERGARTEN,1636 N KIMBALL AVE NUMBER 38,CHICAGO,IL,60647,126,COOK,17031,41.91122,-87.71169,CHILD DAY CARE CENTERS,POINT (-87.71169 41.91122),1644,17,31,230200,17031230200,41.91186877382346,-87.71008438364542,0.094042340488097,0.209,0.65
