objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc
43687,palos park episcopal day care center,12219 s 86th ave,palos park,il,60464,89,cook,17031,41.66783,-87.83045,child day care centers
43688,kindercare learning ctr 301043,15700 central ave,oak forest,il,60452,123,cook,17031,41.60607,-87.75611,child day care centers
43689,howard mohr community center,7640 jackson blvd,forest park,il,60130,60,cook,17031,41.87541,-87.81548,child day care centers
43690,family life child development center,15924 s park ave,south holland,il,60473,148,cook,17031,41.60585,-87.60742,child day care centers
43691,"bright start child care and preschool, inc",1800 ridge rd,homewood,il,60430,120,cook,17031,41.56142,-87.66113,child day care centers
43692,base - illinois,210 illinois st,park forest,il,60466,115,cook,17031,41.50227,-87.67894,child day care centers
43693,our loving arms childcare center inc number 2,1645 center ave,chicago hts,il,60411,41,cook,17031,41.50093,-87.63054,child day care centers
43694,presence holy family child care center,100 n river rd,des plaines,il,60016,52,cook,17031,42.05487,-87.88982,child day care centers
43695,acarath montessori center,110 w hillcrest blvd,schaumburg,il,60195,141,cook,17031,42.06092,-88.08344,child day care centers
43696,abcd academy for children ii,253 e rand rd,mt prospect,il,60056,83,cook,17031,42.07829,-87.93273,child day care centers
43697,"rainforest learning center, inc",1401 s wabash ave,chicago,il,60605,93,cook,17031,41.863861,-87.625731,child day care centers
43698,the goddard school,1001 e woodfield rd,schaumburg,il,60173,209,cook,17031,42.04261,-88.05583,child day care centers
43699,"kid's kingdom preschool, inc. newton ctr",501 s walnut st,newton,il,62448,48,jasper,17079,38.98608,-88.16641,child day care centers
43700,erba newton head start,1306 fairground ave number b,newton,il,62448,34,jasper,17079,38.98753,-88.17636,"head start programs, separate from schools"
43701,little learner's preschool,127 s high st,galena,il,61036,20,jo daviess,17085,42.41798,-90.43053,child day care centers
43702,galena art and recreation center,11084 w us highway 20,galena,il,61036,114,jo daviess,17085,42.43214,-90.44832,child day care centers
43703,sunny day preschool,107 w jefferson st,warren,il,61087,17,jo daviess,17085,42.49322,-89.98965,child day care centers
