DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 9505; Iroquois County; Illinois,92,67,3729,3526,24,5,122,520,61947,1727,1355,3334,2883,372,468,17,075,950500
Census Tract 9506; Iroquois County; Illinois,76,70,3129,2296,26,7,1052,246,63828,1196,994,2940,2120,454,311,17,075,950600
Census Tract 9507; Iroquois County; Illinois,80,51,2908,2658,55,2,185,242,74438,1205,1128,2778,1974,116,498,17,075,950700
Census Tract 9508; Iroquois County; Illinois,114,149,2558,2460,2,0,68,171,73158,976,791,2135,1635,67,436,17,075,950800
Census Tract 9509; Iroquois County; Illinois,54,62,2337,2241,6,0,98,232,54625,970,764,2042,1585,262,303,17,075,950900
Census Tract 101; Jackson County; Illinois,203,112,3306,3233,3,2,27,480,70107,1117,981,2950,2000,296,280,17,077,010100
Census Tract 102; Jackson County; Illinois,112,119,3787,3447,25,9,169,549,50594,1579,951,3303,2716,357,448,17,077,010200
Census Tract 103; Jackson County; Illinois,145,101,2594,2402,0,34,136,413,62232,1040,833,2371,1796,245,408,17,077,010300
Census Tract 104; Jackson County; Illinois,198,100,4783,4066,151,63,54,297,71574,1982,1368,4214,3086,186,817,17,077,010400
Census Tract 106.01; Jackson County; Illinois,110,120,2131,2089,0,0,142,471,54115,759,651,1947,1374,214,366,17,077,010601
Census Tract 106.02; Jackson County; Illinois,135,188,3082,1991,495,24,486,396,44760,1394,731,2620,1997,147,440,17,077,010602
Census Tract 107; Jackson County; Illinois,77,140,2970,2135,471,0,137,759,30104,1453,639,2370,2194,291,307,17,077,010700
Census Tract 108; Jackson County; Illinois,24,52,2963,1654,750,95,340,424,37148,1533,617,2412,2204,117,826,17,077,010800
Census Tract 109; Jackson County; Illinois,39,51,2089,1223,727,64,63,372,58212,961,618,1968,1336,99,600,17,077,010900
Census Tract 110.01; Jackson County; Illinois,1,0,1366,942,234,153,38,178,65402,743,396,1040,1058,88,634,17,077,011001
Census Tract 110.02; Jackson County; Illinois,103,118,4494,3554,703,105,95,714,91307,1907,1277,3713,3574,97,2013,17,077,011002
Census Tract 111; Jackson County; Illinois,47,12,3013,1715,718,271,160,1707,14549,1725,68,1503,1148,142,517,17,077,011100
Census Tract 112; Jackson County; Illinois,61,0,4293,2016,1656,370,106,1902,26744,2339,374,2675,1914,91,817,17,077,011200
Census Tract 114; Jackson County; Illinois,12,82,3700,2558,728,271,146,1707,26343,1789,159,1970,1478,122,620,17,077,011400
Census Tract 116; Jackson County; Illinois,126,126,3775,3335,165,102,18,424,85521,1456,1101,3461,2547,62,1366,17,077,011600
Census Tract 117.01; Jackson County; Illinois,26,47,1458,1106,124,13,151,279,36042,827,369,1242,931,12,402,17,077,011701
Census Tract 117.02; Jackson County; Illinois,6,36,3372,1949,771,359,222,377,50179,529,75,1026,692,48,426,17,077,011702
Census Tract 9773; Jasper County; Illinois,44,35,2651,2570,7,3,1,160,69150,1059,855,2415,1917,82,421,17,079,977300
Census Tract 9774; Jasper County; Illinois,114,76,2843,2759,10,0,32,334,55326,1284,971,2607,2094,249,424,17,079,977400
Census Tract 9775; Jasper County; Illinois,137,156,3801,3641,5,9,137,351,84779,1367,1207,3590,2477,103,542,17,079,977500
Census Tract 501; Jefferson County; Illinois,103,74,3991,3571,86,34,53,359,66610,1676,1419,3681,2859,136,553,17,081,050100
Census Tract 502; Jefferson County; Illinois,112,107,2981,2677,0,5,43,304,59896,1197,1024,2727,2043,308,215,17,081,050200
Census Tract 503; Jefferson County; Illinois,98,88,4281,4069,25,14,73,526,69548,1717,1466,3961,2917,202,591,17,081,050300
Census Tract 504; Jefferson County; Illinois,124,128,4933,4166,400,27,202,369,62468,1455,1228,4172,3683,737,331,17,081,050400
Census Tract 505; Jefferson County; Illinois,147,122,3666,3122,155,93,77,745,44945,1812,682,2724,2767,129,883,17,081,050500
Census Tract 506; Jefferson County; Illinois,39,46,2933,2290,308,41,167,346,59750,1244,962,2524,2101,102,568,17,081,050600
Census Tract 507; Jefferson County; Illinois,150,112,3447,3104,139,34,18,339,56474,1430,1032,2927,2294,118,594,17,081,050700
Census Tract 508; Jefferson County; Illinois,150,147,4471,4286,48,36,65,577,70217,1802,1550,4049,3131,205,736,17,081,050800
Census Tract 509; Jefferson County; Illinois,75,58,2489,1808,382,22,121,644,46397,1092,504,1894,1656,164,95,17,081,050900
Census Tract 510; Jefferson County; Illinois,38,89,1399,639,590,24,91,571,30481,483,86,997,772,163,22,17,081,051000
Census Tract 511; Jefferson County; Illinois,100,56,2452,1937,273,64,171,200,53013,870,685,2207,1658,165,107,17,081,051100
Census Tract 101; Jersey County; Illinois,77,108,5380,5222,13,13,33,699,56488,1909,1186,4766,3850,372,758,17,083,010100
Census Tract 102; Jersey County; Illinois,142,35,3437,3309,0,0,110,128,91161,1187,1129,3193,2414,79,496,17,083,010200
Census Tract 103; Jersey County; Illinois,25,73,3882,3620,104,51,67,195,98750,1134,1001,3232,2437,140,421,17,083,010300
Census Tract 104.01; Jersey County; Illinois,205,256,5949,5715,14,63,98,416,79311,2319,1914,5196,4152,289,1155,17,083,010401
Census Tract 104.02; Jersey County; Illinois,20,14,1671,1641,0,0,0,133,65859,680,593,1585,1267,75,183,17,083,010402
Census Tract 105; Jersey County; Illinois,33,23,1143,1061,20,0,11,84,78750,506,449,1009,926,46,265,17,083,010500
Census Tract 201.01; Jo Daviess County; Illinois,65,5,2007,1936,4,0,61,159,79375,864,748,1790,1486,85,353,17,085,020101
Census Tract 201.02; Jo Daviess County; Illinois,50,60,2648,2519,21,6,102,210,71006,1057,896,2277,1781,198,302,17,085,020102
Census Tract 202; Jo Daviess County; Illinois,83,138,4703,4427,65,31,155,316,64060,2153,1675,4442,3565,246,573,17,085,020200
Census Tract 203; Jo Daviess County; Illinois,118,56,4868,4740,35,63,68,291,68491,2433,1788,4062,3874,182,1633,17,085,020300
Census Tract 204.01; Jo Daviess County; Illinois,24,14,2071,1878,4,0,146,92,96103,923,889,1948,1722,44,854,17,085,020401
Census Tract 204.02; Jo Daviess County; Illinois,73,78,2675,2504,34,13,97,399,54936,1292,955,2446,1964,194,435,17,085,020402
Census Tract 205; Jo Daviess County; Illinois,67,80,2970,2794,12,12,96,222,60400,1352,1094,2723,2157,120,460,17,085,020500
Census Tract 9776; Johnson County; Illinois,63,46,4359,4070,0,19,157,293,77652,1669,1592,4054,3194,338,710,17,087,977600
Census Tract 9777; Johnson County; Illinois,72,98,3052,3008,0,1,90,447,67200,1118,991,2838,2061,150,482,17,087,977700
Census Tract 9778; Johnson County; Illinois,132,147,4054,3209,152,7,146,1125,50186,1313,912,3754,2575,231,393,17,087,977800
Census Tract 9800; Johnson County; Illinois,0,0,1848,749,1026,15,144,0,-666666666,6,6,736,1692,744,0,17,087,980000
Census Tract 8501.01; Kane County; Illinois,75,214,6256,2982,423,603,2848,242,85384,2365,1948,5704,4329,520,1781,17,089,850101
Census Tract 8501.03; Kane County; Illinois,239,207,6072,4949,40,648,633,125,117633,2036,1899,5631,3985,212,2440,17,089,850103
Census Tract 8501.05; Kane County; Illinois,246,261,7629,4916,210,1185,1469,219,113077,2656,2213,6825,5112,504,2014,17,089,850105
Census Tract 8501.06; Kane County; Illinois,172,188,7649,5484,445,335,1442,736,111635,2531,2234,6834,4752,208,1817,17,089,850106
Census Tract 8502.01; Kane County; Illinois,100,111,4155,1976,9,100,2893,46,75303,1106,982,3854,2426,835,312,17,089,850201
Census Tract 8502.02; Kane County; Illinois,146,350,6476,2119,17,19,5462,571,79282,1731,1233,5955,3643,1538,205,17,089,850202
Census Tract 8503.01; Kane County; Illinois,438,489,8657,3389,703,162,5778,1356,73319,2046,1221,7811,4600,1660,401,17,089,850301
Census Tract 8503.02; Kane County; Illinois,142,184,4363,2254,281,104,2173,655,61985,1541,686,3518,2614,561,464,17,089,850302
Census Tract 8504; Kane County; Illinois,49,58,2563,1885,215,12,415,390,66139,1272,839,2223,2069,189,680,17,089,850400
Census Tract 8505; Kane County; Illinois,100,16,3831,3026,85,212,536,250,87017,1813,954,3058,2873,234,970,17,089,850500
Census Tract 8506; Kane County; Illinois,265,101,7088,5561,225,401,1049,352,105875,2858,2126,6010,5094,343,2226,17,089,850600
Census Tract 8507.03; Kane County; Illinois,70,57,2221,2004,4,18,212,106,116581,795,684,2042,1528,139,481,17,089,850703
Census Tract 8507.04; Kane County; Illinois,0,0,4957,4863,0,0,79,961,42115,3382,2955,4447,4957,98,2063,17,089,850704
Census Tract 8507.05; Kane County; Illinois,151,220,9014,7297,667,379,776,539,104360,2885,2205,7655,6009,780,1886,17,089,850705
Census Tract 8507.06; Kane County; Illinois,17,0,1654,1642,0,0,81,5,81964,847,788,1408,1422,106,486,17,089,850706
Census Tract 8507.07; Kane County; Illinois,265,378,8697,7444,0,251,1249,387,110458,3404,3221,7876,6680,214,2892,17,089,850707
Census Tract 8507.08; Kane County; Illinois,185,165,4836,2663,0,450,1910,109,110344,1475,1137,3226,2967,108,1363,17,089,850708
Census Tract 8507.09; Kane County; Illinois,102,69,4036,2880,0,238,976,116,157890,1493,1493,3732,2820,178,1279,17,089,850709
Census Tract 8507.10; Kane County; Illinois,595,53,7138,4595,873,599,1002,379,116684,2082,1829,6576,4439,30,2456,17,089,850710
Census Tract 8507.11; Kane County; Illinois,280,65,3897,3434,0,251,139,25,174023,1390,1247,3447,2500,30,1747,17,089,850711
Census Tract 8508; Kane County; Illinois,66,170,6846,3756,156,48,3628,789,84682,2188,1845,5953,4583,1149,765,17,089,850800
Census Tract 8510; Kane County; Illinois,168,139,6358,4344,337,190,1834,449,59545,2672,1687,5129,4338,281,1367,17,089,851000
Census Tract 8511.01; Kane County; Illinois,50,135,3588,1714,316,0,1601,391,63125,1300,787,3272,2390,469,380,17,089,851101
Census Tract 8511.02; Kane County; Illinois,252,168,4396,1740,264,36,2398,471,85938,1341,966,3973,2759,691,528,17,089,851102
Census Tract 8513.01; Kane County; Illinois,243,196,3648,1147,134,87,2653,888,52138,1181,560,2964,2036,664,386,17,089,851301
Census Tract 8513.02; Kane County; Illinois,166,69,3341,1266,134,32,2615,618,61375,871,472,2922,2065,875,183,17,089,851302
Census Tract 8514; Kane County; Illinois,362,595,6567,2279,160,24,5313,876,80391,1945,1218,5690,3752,1538,414,17,089,851400
Census Tract 8515; Kane County; Illinois,34,13,989,295,82,58,648,94,64766,375,124,836,632,127,140,17,089,851500
Census Tract 8516; Kane County; Illinois,17,205,6288,2478,181,70,4623,842,70192,2320,1317,5793,4213,1513,694,17,089,851600
Census Tract 8518.01; Kane County; Illinois,277,198,8230,5882,404,571,1975,144,105154,2960,2545,7632,5855,640,1736,17,089,851801
Census Tract 8519.04; Kane County; Illinois,409,43,7052,4027,381,655,2655,956,79838,2542,1962,6407,4879,771,1836,17,089,851904
Census Tract 8519.07; Kane County; Illinois,90,315,9282,6579,2,842,2927,491,124706,3158,2417,7950,6133,653,2006,17,089,851907
Census Tract 8519.08; Kane County; Illinois,357,92,6002,2347,979,665,2529,378,89813,1988,1455,5149,3697,447,802,17,089,851908
Census Tract 8519.09; Kane County; Illinois,171,74,4310,2790,159,124,1536,235,104375,1621,1273,3794,3157,353,982,17,089,851909
Census Tract 8519.10; Kane County; Illinois,35,26,3831,1750,287,216,1715,177,104612,1463,1129,3545,2851,374,712,17,089,851910
Census Tract 8519.11; Kane County; Illinois,156,88,4941,3679,69,461,882,74,163807,1511,1455,4600,3021,18,1583,17,089,851911
Census Tract 8519.12; Kane County; Illinois,95,127,3309,2251,155,257,646,67,98260,1207,1088,2682,2365,96,914,17,089,851912
Census Tract 8519.13; Kane County; Illinois,0,72,5219,4158,2,798,250,57,114646,2115,2062,4520,4092,33,1899,17,089,851913
Census Tract 8520.01; Kane County; Illinois,168,85,4400,3463,109,147,849,353,96985,1764,1438,3800,3291,177,1283,17,089,852001
Census Tract 8520.02; Kane County; Illinois,93,299,7597,6321,281,23,1396,181,107760,2916,1893,6275,5182,304,2144,17,089,852002
Census Tract 8520.04; Kane County; Illinois,19,32,2913,2120,11,544,38,114,138000,1026,859,2469,2057,138,1301,17,089,852004
Census Tract 8520.05; Kane County; Illinois,134,35,4496,3933,28,341,122,205,145156,1848,1623,4098,3474,63,2076,17,089,852005
Census Tract 8521.01; Kane County; Illinois,98,53,7529,5516,233,1096,1064,435,187538,2359,2282,6920,4884,187,2869,17,089,852101
Census Tract 8521.03; Kane County; Illinois,107,201,6444,5690,10,377,389,128,163778,2328,2121,6090,4343,83,2707,17,089,852103
Census Tract 8521.04; Kane County; Illinois,9,35,2929,2326,403,39,291,125,161078,889,829,2430,1829,28,701,17,089,852104
Census Tract 8522.01; Kane County; Illinois,101,122,4964,4475,85,61,299,423,84811,2115,1408,3962,3489,206,1702,17,089,852201
Census Tract 8522.03; Kane County; Illinois,175,310,4523,3083,619,145,625,227,77514,1847,987,3449,3054,330,1561,17,089,852203
Census Tract 8522.04; Kane County; Illinois,73,82,4131,3184,210,173,605,24,141553,1293,1224,3273,2620,145,1161,17,089,852204
Census Tract 8523; Kane County; Illinois,19,28,1931,1719,21,0,271,149,64036,1141,411,1405,1469,67,809,17,089,852300
Census Tract 8524.03; Kane County; Illinois,224,119,5051,4802,8,37,247,204,118047,1950,1716,4712,3709,144,1150,17,089,852403
Census Tract 8524.04; Kane County; Illinois,104,58,2687,2288,0,308,0,159,196821,902,858,2411,1811,21,1070,17,089,852404
Census Tract 8524.05; Kane County; Illinois,47,127,3297,3081,0,5,315,63,127969,1287,1243,2922,2310,74,1177,17,089,852405
Census Tract 8524.06; Kane County; Illinois,32,46,2658,2535,19,46,156,26,142179,844,828,2544,1714,2,926,17,089,852406
Census Tract 8524.07; Kane County; Illinois,58,161,3798,3198,123,193,84,46,250001,1130,1107,3001,2279,41,1565,17,089,852407
Census Tract 8524.08; Kane County; Illinois,93,102,4435,4235,0,83,348,50,141143,1640,1560,4182,3085,55,1451,17,089,852408
Census Tract 8525; Kane County; Illinois,101,69,6265,5496,118,186,647,212,104741,2534,2168,5926,4567,146,2064,17,089,852500
Census Tract 8526.06; Kane County; Illinois,121,137,4955,4224,34,204,587,43,174706,1740,1493,4276,3319,61,2175,17,089,852606
Census Tract 8526.07; Kane County; Illinois,124,101,3421,3077,0,32,175,144,134327,1446,1042,2925,2385,22,1531,17,089,852607
Census Tract 8526.08; Kane County; Illinois,72,127,4026,3273,59,161,490,12,119018,1638,1212,3660,2865,151,1907,17,089,852608
Census Tract 8527; Kane County; Illinois,283,297,6673,5492,174,110,827,657,77021,2829,1776,5953,4679,162,2132,17,089,852700
Census Tract 8528.03; Kane County; Illinois,80,130,4125,3314,207,62,128,192,113500,1576,1166,3829,2812,125,1662,17,089,852803
Census Tract 8528.05; Kane County; Illinois,180,207,6159,5058,47,110,671,84,112055,2089,1913,5616,4394,216,2090,17,089,852805
Census Tract 8528.06; Kane County; Illinois,391,274,7569,6469,64,558,946,205,151385,2310,2102,7051,4661,144,3181,17,089,852806
Census Tract 8528.07; Kane County; Illinois,72,106,4095,3497,254,123,172,9,171667,1540,1221,3627,2913,69,1630,17,089,852807
Census Tract 8528.08; Kane County; Illinois,169,315,6832,6278,161,91,380,324,115466,2620,2264,6144,4999,240,2337,17,089,852808
Census Tract 8529.03; Kane County; Illinois,220,25,5538,3811,488,360,1715,322,82000,2446,1556,4991,4198,677,1246,17,089,852903
Census Tract 8529.04; Kane County; Illinois,42,103,2608,771,157,4,2372,538,53500,714,524,2377,1538,631,126,17,089,852904
Census Tract 8529.05; Kane County; Illinois,127,41,4217,1844,595,102,2578,815,56930,1425,838,3484,2588,624,347,17,089,852905
Census Tract 8529.06; Kane County; Illinois,215,247,5443,3337,395,196,2259,680,72361,2026,1337,4538,3742,432,1152,17,089,852906
Census Tract 8529.07; Kane County; Illinois,264,252,5294,2463,284,27,4042,756,78690,1768,1295,4429,3333,951,515,17,089,852907
Census Tract 8530.01; Kane County; Illinois,162,100,3910,2026,1055,40,902,177,94919,1495,1005,3135,2537,190,789,17,089,853001
Census Tract 8530.04; Kane County; Illinois,72,32,3398,2913,111,11,708,573,66645,1421,798,2687,2447,184,410,17,089,853004
Census Tract 8530.05; Kane County; Illinois,311,61,5370,2677,1449,0,2092,396,50309,2101,971,4715,3454,540,579,17,089,853005
Census Tract 8530.06; Kane County; Illinois,30,58,3032,1822,438,68,1748,68,83495,1182,745,2620,2032,404,469,17,089,853006
Census Tract 8530.07; Kane County; Illinois,145,109,5025,2033,878,81,2653,720,72799,1683,866,3827,3208,810,696,17,089,853007
Census Tract 8530.08; Kane County; Illinois,228,94,4015,1883,460,134,2290,533,84919,1200,832,3487,2622,458,641,17,089,853008
Census Tract 8531; Kane County; Illinois,39,71,3026,1042,379,133,1842,572,72351,923,737,2897,1931,588,241,17,089,853100
Census Tract 8532; Kane County; Illinois,424,368,5861,2057,832,129,3843,1309,50423,1899,742,4260,3380,915,420,17,089,853200
Census Tract 8533; Kane County; Illinois,35,68,3657,1443,126,13,2948,357,62008,1193,697,3376,2295,920,252,17,089,853300
Census Tract 8534.01; Kane County; Illinois,75,52,2600,754,0,38,2474,297,73036,639,503,2446,1547,628,192,17,089,853401
Census Tract 8534.02; Kane County; Illinois,117,102,4541,1917,118,0,4408,949,61268,1285,535,4017,2820,1551,309,17,089,853402
Census Tract 8535; Kane County; Illinois,193,231,5003,2200,159,0,4625,504,74700,1402,898,4358,3099,1489,228,17,089,853500
Census Tract 8536.01; Kane County; Illinois,94,65,2581,561,95,9,2347,247,78080,712,204,1646,1279,678,105,17,089,853601
Census Tract 8536.02; Kane County; Illinois,81,99,3313,1289,294,195,2661,438,45150,1141,662,3033,2014,911,153,17,089,853602
Census Tract 8539; Kane County; Illinois,182,72,5381,4213,86,105,1384,630,77328,2082,1620,4436,3489,138,1321,17,089,853900
Census Tract 8540.01; Kane County; Illinois,126,50,4076,3119,312,31,1060,364,97143,1580,1306,3674,3107,347,1004,17,089,854001
Census Tract 8540.02; Kane County; Illinois,180,183,5669,3812,377,0,1925,670,68193,2118,1071,5132,3385,568,643,17,089,854002
Census Tract 8541; Kane County; Illinois,130,74,4565,2069,165,0,3738,616,65682,1202,688,4016,2631,975,240,17,089,854100
Census Tract 8542; Kane County; Illinois,114,165,4670,2051,417,17,3504,1461,51667,1320,766,3979,2431,1073,285,17,089,854200
Census Tract 8543.01; Kane County; Illinois,125,156,5698,1880,272,34,4975,493,68214,1534,1101,5145,3251,1567,223,17,089,854301
Census Tract 8543.02; Kane County; Illinois,107,89,4796,1543,387,14,3620,356,76898,1313,1005,4410,2834,1004,261,17,089,854302
Census Tract 8544.01; Kane County; Illinois,31,36,2080,900,15,0,1486,130,56570,660,419,1813,1165,188,124,17,089,854401
Census Tract 8544.02; Kane County; Illinois,141,134,2376,1735,286,118,360,105,72438,1011,729,2206,1799,240,550,17,089,854402
Census Tract 8544.03; Kane County; Illinois,261,795,8315,3176,836,404,4598,1512,61767,2271,1069,6629,4337,1312,1340,17,089,854403
Census Tract 8545.04; Kane County; Illinois,307,244,8537,7234,733,219,707,206,125804,3148,3010,8071,5896,283,2962,17,089,854504
Census Tract 8545.05; Kane County; Illinois,228,366,8192,7506,0,220,196,323,179676,2595,2226,7151,4733,29,3480,17,089,854505
Census Tract 8545.06; Kane County; Illinois,88,36,3128,2399,349,206,174,58,147432,1120,1057,2759,2171,58,1010,17,089,854506
Census Tract 8545.07; Kane County; Illinois,58,119,6050,5980,1,0,613,419,118109,2197,2043,5904,4005,70,2081,17,089,854507
Census Tract 8545.08; Kane County; Illinois,255,77,5826,3677,762,313,1175,1044,127750,1957,1684,5506,3666,286,1467,17,089,854508
Census Tract 8545.09; Kane County; Illinois,72,50,6326,5157,0,150,881,279,132827,2375,2074,5924,4545,248,2152,17,089,854509
Census Tract 8546; Kane County; Illinois,252,186,4290,1943,566,167,2207,856,63259,1582,499,3502,2352,489,561,17,089,854600
Census Tract 8547; Kane County; Illinois,65,38,2043,770,330,76,1049,400,55795,840,279,1752,1494,366,348,17,089,854700
Census Tract 8548; Kane County; Illinois,177,161,7732,6977,245,95,368,264,163104,2677,2442,7322,5067,59,3210,17,089,854800
Census Tract 8549; Kane County; Illinois,328,134,5783,2788,874,222,2410,1761,69205,2015,1229,4780,3692,696,490,17,089,854900
Census Tract 101; Kankakee County; Illinois,93,63,2381,2309,3,0,56,256,79741,846,678,2181,1562,81,192,17,091,010100
Census Tract 102.01; Kankakee County; Illinois,54,94,2299,2158,26,6,117,81,129868,884,696,2128,1538,74,555,17,091,010201
Census Tract 102.03; Kankakee County; Illinois,12,84,4362,3898,89,0,549,384,82550,1889,1343,3706,3072,149,845,17,091,010203
Census Tract 102.04; Kankakee County; Illinois,185,100,5354,5042,181,5,219,323,69803,2351,1583,4467,4228,245,700,17,091,010204
Census Tract 103; Kankakee County; Illinois,133,77,3695,3497,12,7,195,155,79896,1422,1303,3560,2631,172,383,17,091,010300
Census Tract 104; Kankakee County; Illinois,117,104,4753,4616,33,0,142,224,104211,1838,1630,4471,3416,55,804,17,091,010400
Census Tract 105; Kankakee County; Illinois,76,110,6632,5133,756,299,396,531,92308,2322,1727,6079,4174,158,1725,17,091,010500
Census Tract 106.01; Kankakee County; Illinois,129,195,5258,4324,130,215,400,213,119152,1689,1541,4875,3351,204,1311,17,091,010601
Census Tract 106.02; Kankakee County; Illinois,69,189,5931,5160,227,41,639,917,71425,2098,1602,5398,4002,198,1078,17,091,010602
Census Tract 107.01; Kankakee County; Illinois,207,236,4669,3595,707,82,233,536,107574,1714,1061,4187,3019,107,787,17,091,010701
Census Tract 107.02; Kankakee County; Illinois,239,212,6984,6167,297,8,813,984,53636,2848,1870,6503,4745,537,577,17,091,010702
Census Tract 108; Kankakee County; Illinois,68,48,3461,2312,582,28,464,488,70214,1248,839,3283,2339,184,422,17,091,010800
Census Tract 109; Kankakee County; Illinois,375,69,4504,3763,17,12,772,276,56429,1756,1377,4136,3019,487,361,17,091,010900
Census Tract 110; Kankakee County; Illinois,0,69,1535,374,1013,0,165,213,42917,667,433,1492,1219,254,134,17,091,011000
Census Tract 111; Kankakee County; Illinois,75,56,2013,1437,106,0,537,91,75625,784,552,1831,1417,238,181,17,091,011100
Census Tract 112; Kankakee County; Illinois,10,27,1899,1625,46,17,175,108,88056,718,655,1826,1410,64,416,17,091,011200
Census Tract 113; Kankakee County; Illinois,103,57,2077,1777,207,0,131,157,72669,921,769,1935,1572,118,420,17,091,011300
Census Tract 114; Kankakee County; Illinois,119,55,1638,655,551,0,615,726,29485,687,271,1555,974,174,119,17,091,011400
Census Tract 115; Kankakee County; Illinois,43,129,2085,395,1496,1,371,789,27635,782,258,1824,1303,405,112,17,091,011500
Census Tract 116; Kankakee County; Illinois,8,48,1447,323,1091,0,224,232,40865,523,272,1396,859,95,86,17,091,011600
Census Tract 117; Kankakee County; Illinois,134,77,3079,1480,1463,0,176,941,31375,1203,555,2722,2055,464,103,17,091,011700
Census Tract 118; Kankakee County; Illinois,10,23,2456,2082,67,0,456,334,51792,1079,719,2403,1856,252,152,17,091,011800
Census Tract 119; Kankakee County; Illinois,50,50,1543,1137,26,0,380,203,54178,613,339,1464,872,57,54,17,091,011900
Census Tract 120; Kankakee County; Illinois,204,149,5238,4143,754,72,250,986,56694,1441,716,4166,2457,135,484,17,091,012000
Census Tract 121; Kankakee County; Illinois,152,58,3491,2537,553,229,221,455,50606,1550,882,3164,2661,259,536,17,091,012100
Census Tract 122; Kankakee County; Illinois,39,203,3169,2086,573,12,643,193,68125,1291,1015,2900,2181,251,510,17,091,012200
Census Tract 123; Kankakee County; Illinois,191,99,4330,1604,1895,0,1460,1809,27821,1334,308,3825,2496,691,207,17,091,012300
Census Tract 124; Kankakee County; Illinois,38,63,4344,2120,1809,0,1031,830,63289,1810,973,4084,2795,518,488,17,091,012400
Census Tract 125; Kankakee County; Illinois,162,181,2425,1415,800,0,203,733,49070,660,428,2276,1662,534,80,17,091,012500
Census Tract 126; Kankakee County; Illinois,66,119,4369,4051,104,8,304,352,78578,1623,1239,3805,3049,85,795,17,091,012600
Census Tract 8901.03; Kendall County; Illinois,46,502,5856,2872,867,371,1814,117,80011,2282,1784,4648,3382,20,1545,17,093,890103
Census Tract 8901.04; Kendall County; Illinois,189,75,6180,3201,1203,1127,295,427,135726,1982,1483,5521,4095,320,1882,17,093,890104
Census Tract 8901.05; Kendall County; Illinois,167,181,8664,5998,1213,392,998,196,114714,2730,2460,7893,5689,256,2497,17,093,890105
Census Tract 8901.06; Kendall County; Illinois,129,86,4366,3686,92,14,607,283,109397,1652,1349,4070,3007,79,1183,17,093,890106
Census Tract 8901.07; Kendall County; Illinois,121,41,4541,4059,273,0,327,99,114005,1572,1502,3803,3398,227,1245,17,093,890107
Census Tract 8901.08; Kendall County; Illinois,157,82,5142,4274,270,0,415,144,145216,1733,1733,4734,3166,83,1847,17,093,890108
Census Tract 8902.01; Kendall County; Illinois,84,175,4751,3304,105,16,1959,138,75526,1674,1368,4207,3015,317,797,17,093,890201
Census Tract 8902.02; Kendall County; Illinois,117,81,4161,2542,176,36,1546,446,84423,1230,1056,3799,2569,256,418,17,093,890202
Census Tract 8903.01; Kendall County; Illinois,64,113,6885,4586,524,186,1940,302,105889,2331,1804,6120,4769,456,1925,17,093,890301
Census Tract 8903.02; Kendall County; Illinois,184,154,5259,4886,111,73,1015,90,89034,2008,1814,4658,3961,208,908,17,093,890302
Census Tract 8904.01; Kendall County; Illinois,373,390,8017,7014,543,134,922,516,101992,2524,2119,7520,4608,287,1645,17,093,890401
Census Tract 8904.02; Kendall County; Illinois,408,167,9276,7141,1077,508,1749,168,119981,3181,2753,8297,6181,231,2889,17,093,890402
Census Tract 8904.03; Kendall County; Illinois,394,27,5207,3682,940,124,1082,30,92008,1742,1339,4730,3049,423,1063,17,093,890403
Census Tract 8904.04; Kendall County; Illinois,284,247,9853,7336,74,0,3128,225,109755,3129,2402,9380,5680,458,1509,17,093,890404
Census Tract 8905.01; Kendall County; Illinois,209,456,9275,6146,480,299,3280,1136,82388,3078,2086,7807,6584,759,1549,17,093,890501
Census Tract 8905.02; Kendall County; Illinois,74,36,4950,4176,0,0,1357,211,104940,1725,1421,4645,3010,239,783,17,093,890502
Census Tract 8906.01; Kendall County; Illinois,259,180,4226,3866,53,0,479,150,103426,1545,1273,3561,2970,93,1021,17,093,890601
Census Tract 8906.02; Kendall County; Illinois,377,236,6213,4884,126,135,941,93,115583,1912,1817,5045,3751,123,1220,17,093,890602
Census Tract 8907.01; Kendall County; Illinois,102,273,5480,3786,968,185,1149,780,112167,1630,1497,5298,3097,431,1446,17,093,890701
Census Tract 8907.02; Kendall County; Illinois,51,104,5557,3287,707,234,1179,255,125272,1595,1542,5228,3580,189,1612,17,093,890702
Census Tract 8907.03; Kendall County; Illinois,444,388,8936,6985,886,123,1725,474,106994,2623,2297,7667,5348,155,1388,17,093,890703
Census Tract 1; Knox County; Illinois,89,47,2810,2780,9,0,37,176,65885,1134,984,2727,1873,69,478,17,095,000100
Census Tract 2; Knox County; Illinois,70,130,3037,2793,59,8,172,283,73594,1248,1063,2789,2105,118,543,17,095,000200
Census Tract 3; Knox County; Illinois,31,217,4370,3599,299,20,211,911,46515,2154,1573,3937,3233,260,748,17,095,000300
Census Tract 4; Knox County; Illinois,134,28,4408,3954,30,17,161,398,46948,2135,1274,4139,3248,249,1155,17,095,000400
Census Tract 5; Knox County; Illinois,270,102,5431,3286,1619,140,419,498,56402,1589,1030,4385,4327,1051,633,17,095,000500
