DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 4; Coles County; Illinois,78,33,2638,2392,48,66,154,596,35725,1433,532,2128,1785,369,186,17,029,000400
Census Tract 5; Coles County; Illinois,136,145,5649,5327,94,48,91,1508,38681,2528,1580,4771,3781,498,733,17,029,000500
Census Tract 6; Coles County; Illinois,82,58,2984,2896,41,0,16,292,81813,1349,1170,2669,2238,176,681,17,029,000600
Census Tract 7.01; Coles County; Illinois,18,10,2429,2202,77,73,28,361,77047,1283,711,1951,1826,76,916,17,029,000701
Census Tract 7.02; Coles County; Illinois,75,98,3257,2798,211,0,169,1236,36837,1735,323,2015,1661,30,441,17,029,000702
Census Tract 8; Coles County; Illinois,16,18,3591,2439,844,99,329,528,26326,598,100,1669,580,53,190,17,029,000800
Census Tract 9; Coles County; Illinois,143,50,3959,3602,73,86,106,378,93603,1725,1215,3409,2899,91,1385,17,029,000900
Census Tract 10; Coles County; Illinois,88,104,3297,3108,27,11,76,598,45912,1494,816,2848,2285,199,557,17,029,001000
Census Tract 11; Coles County; Illinois,106,56,3688,3435,98,0,76,927,39141,1691,665,2842,2600,181,397,17,029,001100
Census Tract 12; Coles County; Illinois,54,116,3058,2966,32,0,20,327,56515,1321,909,2532,2179,187,425,17,029,001200
Census Tract 101; Cook County; Illinois,99,125,4284,1915,1376,94,920,815,68196,2322,797,3781,3192,362,1690,17,031,010100
Census Tract 102.01; Cook County; Illinois,364,529,8210,2087,3009,298,2003,2756,61071,3028,827,6387,4878,887,1654,17,031,010201
Census Tract 102.02; Cook County; Illinois,39,134,2865,892,945,312,556,609,58698,1223,290,2374,2063,274,954,17,031,010202
Census Tract 103; Cook County; Illinois,242,21,6237,3343,1473,338,1056,344,68336,3047,1118,4884,5148,513,2663,17,031,010300
Census Tract 104; Cook County; Illinois,25,43,4473,3578,354,213,378,568,48630,2058,590,2945,2662,16,1607,17,031,010400
Census Tract 105.01; Cook County; Illinois,0,156,3913,2632,789,239,230,422,47858,2417,380,3096,3136,10,2048,17,031,010501
Census Tract 105.02; Cook County; Illinois,60,88,3407,1903,751,150,571,890,55813,1582,407,2171,2154,67,1443,17,031,010502
Census Tract 105.03; Cook County; Illinois,35,17,2417,1782,382,137,30,1255,18750,1315,191,1691,1293,195,505,17,031,010503
Census Tract 106; Cook County; Illinois,42,141,6379,3727,1285,236,890,914,66313,2943,1118,4615,4691,258,3102,17,031,010600
Census Tract 107.01; Cook County; Illinois,82,165,3590,1516,748,225,1097,270,70542,1603,844,3029,2730,411,1298,17,031,010701
Census Tract 107.02; Cook County; Illinois,336,199,5148,1569,1881,122,1779,1013,52193,1915,407,4473,3047,725,1158,17,031,010702
Census Tract 201; Cook County; Illinois,107,135,3927,1181,1553,169,1027,735,57029,1679,580,3380,3014,386,1092,17,031,020100
Census Tract 202; Cook County; Illinois,460,285,7203,3634,494,921,2142,500,117005,1989,1536,6599,4274,677,2235,17,031,020200
Census Tract 203.01; Cook County; Illinois,247,336,5432,4461,112,502,347,610,73539,2215,1563,4843,3710,179,2016,17,031,020301
Census Tract 203.02; Cook County; Illinois,87,156,5201,3823,471,427,652,298,84205,1736,1091,4233,3409,153,1780,17,031,020302
Census Tract 204; Cook County; Illinois,143,96,4256,1823,848,480,1503,602,76607,1669,777,3895,3050,400,1571,17,031,020400
Census Tract 205; Cook County; Illinois,357,240,6646,1990,1044,2302,1059,2009,43948,2221,608,5231,4555,895,1209,17,031,020500
Census Tract 206.01; Cook County; Illinois,134,175,5868,3001,135,1279,809,1444,61046,2058,1110,5479,3624,662,1787,17,031,020601
Census Tract 206.02; Cook County; Illinois,254,194,5343,2314,473,1387,1387,654,83839,1602,855,5034,3406,503,1876,17,031,020602
Census Tract 207.01; Cook County; Illinois,31,61,1728,1122,184,173,263,146,92024,764,533,1622,1343,135,831,17,031,020701
Census Tract 207.02; Cook County; Illinois,265,304,8412,4279,298,2541,1974,1665,68897,2483,1007,7127,5061,1165,1489,17,031,020702
